pool_name,inventory_channel,source_file
VMI杭州POP虚仓,京东旗舰,映射.xlsx
分销赊销虚仓-上海天猫实觅（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-上海天猫宏然（直营专卖）,上海专卖,映射.xlsx
SS京东VMI结算虚仓-暂不销售区,不可用,映射.xlsx
VMI武汉POP虚仓,京东旗舰,映射.xlsx
分销赊销虚仓-2组京东安发（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-2组安鸿（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组京东北京二店（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-上海京东新凝动（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-上海京东安踏奥莱旗舰店（直营专卖),上海专卖,映射.xlsx
分销赊销虚仓-1组京东篮球（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-2组驰尚（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组安发（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组安鸿博（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组京东安鸿博（京东专卖）,京东专卖,映射.xlsx
万库浦东仓-云仓VMI分配池-退货,不可用,映射.xlsx
安踏运动装备京自营实仓-品牌认责,不可用,映射.xlsx
分销赊销虚仓-1组勇跃（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-1组京东安建立（京东专卖）,京东专卖,映射.xlsx
物流郑州仓-云仓VMI分配池-退货,不可用,映射.xlsx
韵达潍坊仓云仓VMI冻结仓-H类,不可用,映射.xlsx
