store_name,sales_channel,source_file
抖音-anta安踏安之泽专卖店,兴趣,映射.xlsx
抖音-安踏信阳胜利路综合店,兴趣,映射.xlsx
抖音-安踏北京华熙LIVE店,兴趣,映射.xlsx
抖音-安踏北京荟聚PALACE店,兴趣,映射.xlsx
抖音-安踏重庆渝中区龙湖时代天街C馆专卖店,兴趣,映射.xlsx
抖音-安踏沈阳鞋服抖音专卖店,兴趣,映射.xlsx
抖音-安踏汉中汉台区吾悦专卖店,兴趣,映射.xlsx
抖音-安踏润联专卖店,兴趣,映射.xlsx
抖音-安踏南安中骏专卖店,兴趣,映射.xlsx
抖音-安踏吉林昌邑区专卖店,兴趣,映射.xlsx
抖音-安踏西安雁塔区金辉环球广场专卖店,兴趣,映射.xlsx
抖音-安踏晋江专卖店,兴趣,映射.xlsx
快手-安踏山东专卖店,兴趣,映射.xlsx
快手-安踏成都专卖店,兴趣,映射.xlsx
快手-安踏ANTA安竞专卖店,兴趣,映射.xlsx
微信视频号-安踏跑步旗舰店,兴趣,映射.xlsx
得物直发-安踏上海得物店,得物,映射.xlsx
快手-安踏泉州奥莱专卖店,兴趣,映射.xlsx
得物直发-安踏深圳专卖店,得物,映射.xlsx
得物直发-安踏川渝专卖店,得物,映射.xlsx
得物直发-安踏北京专卖店,得物,映射.xlsx
快手-安踏安速专卖店,兴趣,映射.xlsx
微信视频号-北京运动户外旗舰店,兴趣,映射.xlsx
得物直发-安踏山东专卖店,得物,映射.xlsx
得物直发-得物泉州专卖店,得物,映射.xlsx
快手-安踏广州专卖店,兴趣,映射.xlsx
快手-安踏山东专卖店2店,兴趣,映射.xlsx
得物直发-安踏广州专卖店,得物,映射.xlsx
快手-安踏安竞专卖店,兴趣,映射.xlsx
安踏广州视频号小店,兴趣,映射.xlsx
安踏北京视频号小店,兴趣,映射.xlsx
快手-安踏ANTA运动鞋服旗舰店,兴趣,映射.xlsx
安踏山东视频号小店,兴趣,映射.xlsx
安踏浙江视频号小店,兴趣,映射.xlsx
得物直发-安踏江西专卖店,兴趣,映射.xlsx
快手-安踏健身训练旗舰店,兴趣,映射.xlsx
得物直发-安踏江苏专卖店,兴趣,映射.xlsx
得物直发-安踏云南专卖店,兴趣,映射.xlsx
快手-安踏运动鞋服专卖店,兴趣,映射.xlsx
微信视频号-安踏川渝专卖店,兴趣,映射.xlsx
淘宝-ANTA安踏品牌店,C店,映射.xlsx
淘宝-ANTA安踏网店,C店,映射.xlsx
快手-安踏晋博专卖店,兴趣,映射.xlsx
抖音-anta安踏安之汀专卖店,兴趣,映射.xlsx
抖音-安踏服饰轻运动专卖店,兴趣,映射.xlsx
抖音-anta安踏安之博专卖店,兴趣,映射.xlsx
得物-安踏旗舰店,得物,映射.xlsx
抖音-anta安踏安之强专卖店,兴趣,映射.xlsx
抖音-anta安踏安之沪专卖店,兴趣,映射.xlsx
抖音-anta安踏安之奥专卖店,兴趣,映射.xlsx
抖音-安踏服饰运动专卖店,兴趣,映射.xlsx
抖音-anta安踏安之友专卖店,兴趣,映射.xlsx
抖音-anta安踏安之书专卖店,兴趣,映射.xlsx
抖音-安踏竞进专卖店,兴趣,映射.xlsx
抖音-anta安踏安之荣专卖店,兴趣,映射.xlsx
抖音-安踏服饰户外专卖店,兴趣,映射.xlsx
抖音-安踏安鲁运动鞋服专卖店,兴趣,映射.xlsx
抖音-anta安踏安之广专卖店,兴趣,映射.xlsx
抖音-anta安踏安之喜专卖店,兴趣,映射.xlsx
抖音-安踏体育运动装备专卖店,兴趣,映射.xlsx
抖音-anta安踏安之鸿专卖店,兴趣,映射.xlsx
抖音-anta安踏安之鹏专卖店,兴趣,映射.xlsx
快手-安踏翔驰运动服饰专卖店,兴趣,映射.xlsx
快手-安踏运动装备旗舰店,兴趣,映射.xlsx
微信视频号-安踏男装旗舰店,兴趣,映射.xlsx
京东-安踏自营旗舰店（商仓）,京自营,映射.xlsx
拼多多-安踏安之财专卖店,拼多多,映射.xlsx
快手-安踏女士运动旗舰店,兴趣,映射.xlsx
官方商城-安踏官方商城奥莱小程序,官网,映射.xlsx
快手-安踏ANTA男士户外旗舰店,兴趣,映射.xlsx
京东-安踏羽毛球官方旗舰店,京东专卖,映射.xlsx
天猫-安踏羽毛球旗舰店,天猫羽球,映射.xlsx
云仓VMI-超级安踏京东自营旗舰店,京自营,映射.xlsx
新安踏官方商城,官网,映射.xlsx
微信视频号-ANTA安踏商城,兴趣,映射.xlsx
云仓VMI-安踏企业购京东自营旗舰店,京自营,映射.xlsx
快手-安踏ANTA运动服饰旗舰店,兴趣,映射.xlsx
得物直发-安踏东北专卖店,得物,映射.xlsx
快手-安踏上海专卖店,兴趣,映射.xlsx
快手-安踏服饰专卖店,兴趣,映射.xlsx
快手-安踏广州鞋服专卖店,兴趣,映射.xlsx
快手-安踏河南专卖店,兴趣,映射.xlsx
得物直发-安踏广东专卖店,得物,映射.xlsx
得物直发-安踏杭州专卖店,得物,映射.xlsx
得物直发-安踏华中专卖店,得物,映射.xlsx
抖音-安踏之家专卖店,兴趣,映射.xlsx
得物直发-安踏河南专卖店,得物,映射.xlsx
安踏大货唯品会,唯品,映射.xlsx
抖音-安踏青岛乐客城SS店,兴趣,映射.xlsx
抖音-安踏华中店播专卖店,兴趣,映射.xlsx
抖音-安踏杭州湖滨专卖店,兴趣,映射.xlsx
抖音-安踏沈阳中街冠军旗舰店,兴趣,映射.xlsx
抖音-安踏兰州城关区张掖路专卖店,兴趣,映射.xlsx
微信视频号-安踏安速运动商城,兴趣,映射.xlsx
爱库存-安踏ANTA运动户外官方旗舰店,兴趣,映射.xlsx
安踏儿童官方商城小程序,删除,映射.xlsx
抖音_安踏儿童浦西专卖店,删除,映射.xlsx
天猫-安踏童装outlets店,删除,映射.xlsx
快手-安踏儿童奥莱旗舰店,删除,映射.xlsx
