结算日期,单据类型,店铺名称,货号,销售数量,销售金额,吊牌金额
20260413,销售单,安踏大货唯品会,112528014-4,13,1888.02,4407.0000
20260413,销售单,安踏大货唯品会,112535562-1,-1,-155.476044,-599.0000
20260413,销售单,安踏大货唯品会,152445607U-5,2,246.0,1198.0000
20260413,销售单,安踏大货唯品会,152447926N-7,1,270.14,1099.0000
20260413,销售单,安踏大货唯品会,152518321U-3,1,105.98,269.0000
20260413,销售单,安踏大货唯品会,152527401U-5,1,45.38,99.0000
20260413,销售单,安踏大货唯品会,152527547U-4,2,257.482439,598.0000
20260413,销售单,安踏大货唯品会,152545501-1,5,722.329756,1345.0000
20260413,销售单,安踏大货唯品会,152547404-4,3,444.20585400000004,807.0000
20260413,销售单,安踏大货唯品会,152547510N-2,2,425.48,798.0000
20260413,销售单,安踏大货唯品会,152547943N-6,1,553.58,1099.0000
20260413,销售单,安踏大货唯品会,152548708-1,1,120.23097,269.0000
20260413,销售单,安踏大货唯品会,152618701U-9,9,1212.3899999999999,1791.0000
20260413,销售单,安踏大货唯品会,162447341U-3,34,1632.72,6766.0000
20260413,销售单,安踏大货唯品会,162448922U-5,1,87.96,369.0000
20260413,销售单,安踏大货唯品会,162527124-5,4,369.920631,676.0000
20260413,销售单,安踏大货唯品会,162527733-2,10,907.52,2390.0000
20260413,销售单,安踏大货唯品会,162537301D-1,59,5756.62,15871.0000
20260413,销售单,安踏大货唯品会,162537706-1,2,267.182439,678.0000
20260413,销售单,安踏大货唯品会,162545403N-1,1,105.26,239.0000
20260413,销售单,安踏大货唯品会,162547901-4,1,218.58,499.0000
20260413,销售单,安踏大货唯品会,162548903N-3,1,331.78,799.0000
20260413,销售单,安踏大货唯品会,172438613U-2,1,68.64,299.0000
20260413,销售单,安踏大货唯品会,172611905S-3,1,498.18,999.0000
20260413,销售单,安踏大货唯品会,1826272597R-1,4,148.98000000000002,236.0000
20260413,销售单,安踏大货唯品会,192448979U-3,1,45.92,199.0000
20260413,销售单,安踏大货唯品会,912515513-1,504,52886.92,170856.0000
20260413,销售单,安踏大货唯品会,912521110Q-10,28,5665.1,22372.0000
20260413,销售单,安踏大货唯品会,912525532F-1,31,4363.135671999999,8339.0000
20260413,销售单,安踏大货唯品会,922537725-2,53,5100.96,15847.0000
20260413,销售单,安踏大货唯品会,922537725-3,9,882.04,2691.0000
20260413,销售单,安踏大货唯品会,922548077-8,3,481.15999999999997,1197.0000
20260413,销售单,安踏大货唯品会,922618898-2,1,143.309756,239.0000
20260413,销售单,安踏大货唯品会,952445301-2,44,2625.64,10516.0000
20260413,销售单,安踏大货唯品会,952446603-1,1,360.84,1599.0000
20260413,销售单,安踏大货唯品会,952447920-1,1,224.38,1199.0000
20260413,销售单,安踏大货唯品会,952448904-3,1,255.02,1299.0000
20260413,销售单,安踏大货唯品会,952515502-1,1,27.98,239.0000
20260413,销售单,安踏大货唯品会,952516901-1,4,440.53999999999996,1596.0000
20260413,销售单,安踏大货唯品会,952517505-3,339,30076.9,81021.0000
20260413,销售单,安踏大货唯品会,952527133-5,157,8297.594635000001,15543.0000
20260413,销售单,安踏大货唯品会,952537205-2,8,952.0705439999999,1592.0000
20260413,销售单,安踏大货唯品会,952545401-5,14,1001.29,2366.0000
20260413,销售单,安踏大货唯品会,952545403-7,1,50.12,139.0000
20260413,销售单,安踏大货唯品会,952547309-3,1,70.44,199.0000
20260413,销售单,安踏大货唯品会,952547408-2,2,101.16,338.0000
20260413,销售单,安踏大货唯品会,952547905-3,1,429.84,1399.0000
20260413,销售单,安踏大货唯品会,952548309-3,5,445.061463,1095.0000
20260413,销售单,安踏大货唯品会,952618901-4,1,361.18,1199.0000
20260413,销售单,安踏大货唯品会,962347607-1,1,179.18,999.0000
20260413,销售单,安踏大货唯品会,962428207-1,1,59.86,299.0000
20260413,销售单,安踏大货唯品会,962515701-2,1,68.87,339.0000
20260413,销售单,安踏大货唯品会,962517205-3,1,124.64,449.0000
20260413,销售单,安踏大货唯品会,962517303-3,9,682.78,2421.0000
20260413,销售单,安踏大货唯品会,962527131-4,-1,-62.6,-169.0000
20260413,销售单,安踏大货唯品会,962536503-4,2,366.462857,598.0000
20260413,销售单,安踏大货唯品会,962537204-1,27,4463.52,12123.0000
20260413,销售单,安踏大货唯品会,962538704-1,8,604.52,1912.0000
20260413,销售单,安踏大货唯品会,962547302-2,1,65.32,239.0000
20260413,销售单,安踏大货唯品会,962547310-2,8,459.89,1352.0000
20260413,销售单,安踏大货唯品会,962547310-3,1,59.78,169.0000
20260413,销售单,安踏大货唯品会,962547310S-2,10,620.796828,1390.0000
20260413,销售单,安踏大货唯品会,962547310S-3,5,304.99007,695.0000
20260413,销售单,安踏大货唯品会,962547312-1,10,857.322926,1990.0000
20260413,销售单,安踏大货唯品会,962548907-5,1,254.48,799.0000
20260413,销售单,安踏大货唯品会,962548910-3,1,194.31,699.0000
20260413,销售单,安踏大货唯品会,962617307N-4,3,233.59,507.0000
20260413,销售单,安踏大货唯品会,962617901-4,2,718.36,2398.0000
20260413,销售单,安踏大货唯品会,962628115-6,19,1634.8902409999998,2261.0000
20260413,销售单,安踏大货唯品会,992617319R-2,1,28.98,99.0000
20260413,销售单,安踏大货唯品会,992617351R-2,1,37.72,99.0000
20260413,销售单,安踏大货唯品会,992618972R-1,1,86.92,299.0000
20260413,退货单,抖音-安踏山东专卖店,912548922-3,-1,-199.0,-339.0000
20260413,换货单,抖音-安踏服饰时尚专卖店,112545507R-3,1,219.0,339.0000
20260413,退货单,天猫-安踏官方网店,912515511-6,-15,-3944.370000000001,-5985.0000
20260413,换货单,淘宝-安踏品牌网店,912525537F-6,1,197.33,469.0000
20260413,退货单,抖音-安踏服饰配件旗舰店,112621102-3,-1,-899.0,-899.0000
20260413,退货单,抖音-安踏运动生活专卖店,112545591-1,-1,-349.0,-499.0000
20260413,退货单,天猫-安踏冠军旗舰店,152540706-3,-1,-769.0,-1099.0000
20260413,退货单,天猫-安踏官方网店,112618853-5,-2,-564.56,-798.0000
20260413,退货单,抖音-安踏官方旗舰店,112545591-1,-2,-558.0,-998.0000
20260413,退货单,拼多多-安踏男鞋官方旗舰店,172611309S-1,-1,-289.0,-339.0000
20260413,换货单,天猫-安踏官方网店,172541307N-1,1,226.73,339.0000
20260413,退货单,快手-安踏官方旗舰店,922548033-1,-5,-965.0,-1995.0000
20260413,退货单,抖音-安踏广州专卖店,112548066-6,-1,-289.0,-439.0000
20260413,退货单,拼多多-郑州安发安踏锋锐大货二店,912615596-1,-1,-269.0,-499.0000
20260413,退货单,天猫-安踏官方网店,152518308-3,-1,-208.0,-369.0000
20260413,退货单,安踏大货唯品会,912618898-4,-1,-124.365854,-239.0000
20260413,退货单,天猫-anta安踏安驰专卖店,922515517-1,-4,-996.0,-1596.0000
20260413,退货单,天猫-安踏跑步旗舰店,112615583-4,-2,-1030.03,-1198.0000
20260413,退货单,天猫-anta安踏安驰专卖店,952537302-1,-13,-1536.8899999999999,-2587.0000
20260413,退货单,安踏大货唯品会,952537701-5,-1,-132.926829,-339.0000
20260413,退货单,抖音-安踏运动户外旗舰店,922615557F-3,-1,-149.0,-269.0000
20260413,退货单,抖音-安踏官方旗舰店,112615555-1,-64,-19236.0,-31936.0000
20260413,退货单,京东-安踏官方旗舰店,952538712-4,-1,-104.0,-199.0000
20260413,退货单,安踏大货唯品会,122615575-3,-1,-759.0,-799.0000
20260413,退货单,天猫-安踏官方网店,952545402-3,-6,-832.1899999999999,-1434.0000
20260413,退货单,拼多多-安踏旗舰店,912548077-6,-9,-1510.0,-3591.0000
20260413,退货单,拼多多-安踏旗舰店,922537725-4,-6,-634.1800000000001,-1794.0000
20260413,退货单,天猫-安踏体育篮球旗舰店,172521109-4,-3,-439.90999999999997,-717.0000
20260413,退货单,天猫-安踏官方网店,112545581-6,-1,-267.59,-499.0000
20260413,退货单,天猫-安踏官方网店,952616502-3,-14,-2568.95,-4186.0000
20260413,退货单,拼多多-安踏旗舰店,412511121-1,-1,-141.0,-399.0000
20260413,换货单,抖音-安踏运动旗舰店,952547204-3,1,239.0,399.0000
20260413,退货单,抖音-安踏泉州专卖2店,152617502S-4,-153,-39492.0,-51867.0000
20260413,退货单,天猫-安踏官方网店,912535560-1,-8,-3088.7200000000003,-5592.0000
20260413,退货单,得物-安踏直发店,922615599-5,-2,-779.0,-1398.0000
20260413,退货单,得物-安踏直发店,922545570-1,-1,-279.0,-499.0000
20260413,换货单,抖音-安踏泉州专卖2店,112625533R-2,2,638.0,998.0000
20260413,退货单,拼多多-郑州安发安踏锋锐专卖店,922425537-3,-3,-453.51,-1407.0000
20260413,换货单,抖音-安踏官方旗舰店,112531604Q-1,1,279.0,399.0000
20260413,退货单,天猫-安踏官方网店,952627202-5,-30,-4091.9800000000005,-5970.0000
20260413,退货单,拼多多-安踏旗舰店,112538810-3,-34,-3540.16,-11526.0000
20260413,退货单,抖音-安踏上海专卖店,122618876U-3,-2,-578.0,-698.0000
20260413,换货单,天猫-安踏官方网店,112615583-1,3,1437.0,1797.0000
20260413,退货单,天猫-安踏运动装备旗舰店,1826111135-2,-2,-114.8,-158.0000
20260413,退货单,得物-安踏直发店,912548068-4,-1,-179.0,-299.0000
20260413,退货单,快手-安踏官方旗舰店,112615508R-7,-3,-657.0,-1197.0000
20260413,退货单,抖音-安踏官方旗舰店,112625579-5,-3,-2097.0,-2097.0000
20260413,退货单,天猫-ANTA SUPERSTORE旗舰店,152623104U-4,-2,-258.0,-278.0000
20260413,换货单,抖音-安踏官方旗舰店,112615582-3,3,827.0,1197.0000
20260413,换货单,抖音-安踏官方旗舰店,952627101-7,1,58.0,99.0000
20260413,退货单,天猫-安踏女子运动旗舰店,922615575F-1,-3,-669.37,-1197.0000
20260413,退货单,拼多多-上海安驰安踏专卖店,962537602-4,-11,-1657.51,-4939.0000
20260413,退货单,天猫-安踏官方网店,152627501-1,-1,-269.0,-269.0000
20260413,退货单,京东-安踏官方旗舰店,112525546-7,-1,-239.0,-399.0000
20260413,退货单,天猫-anta安踏安驰专卖店,912545505-4,-1,-159.0,-269.0000
20260413,退货单,抖音-安踏跑步旗舰店,122615582-3,-73,-20367.0,-29127.0000
20260413,退货单,拼多多-安踏运动旗舰店,162448747U-8,-2,-136.0,-538.0000
20260413,退货单,抖音-安踏官方旗舰店,122615582-3,-30,-8370.0,-11970.0000
20260413,退货单,拼多多-安踏旗舰店,952526508-3,-7,-714.4,-2093.0000
20260413,退货单,拼多多-安踏篮球旗舰店,962537309-2,-4,-274.73,-796.0000
