结算日期,单据类型,店铺名称,货号,销售数量,销售金额,吊牌金额
20260323,退货单,拼多多-安踏旗舰店,952536504-3,-31,-3901.640000000001,-10509.0000
20260323,退货单,安踏大货唯品会,162517709S-4,-2,-236.0,-678.0000
20260323,退货单,安踏大货唯品会,922548894-3,-21,-2699.0,-8379.0000
20260323,退货单,天猫-安踏官方网店,112545573-5,-2,-1798.0,-1998.0000
20260323,退货单,安踏大货唯品会,152617704S-1,-1,-275.829268,-339.0000
20260323,退货单,安踏大货唯品会,912524401F-2,-8,-1562.6829280000002,-3192.0000
20260323,退货单,拼多多-安踏旗舰店,112525543R-2,-21,-2475.9700000000003,-7119.0000
20260323,退货单,拼多多-安踏旗舰店,112528830R-3,-7,-761.0,-2093.0000
20260323,退货单,安踏大货唯品会,922517752-4,-10,-1226.414634,-2990.0000
20260323,退货单,天猫-anta安踏北京专卖店,922548068-7,-1,-176.91,-299.0000
20260323,退货单,拼多多-安踏旗舰店,922545597-1,-74,-9039.56,-29526.0000
20260323,退货单,拼多多-安踏篮球旗舰店,162447753U-2,-1,-118.0,-399.0000
20260323,退货单,拼多多-安踏旗舰店,962537703-6,-3,-372.0,-897.0000
20260323,退货单,安踏大货唯品会,122525583-5,-11,-3234.12195,-6589.0000
20260323,退货单,安踏大货唯品会,162517411U-1,-1,-59.0,-119.0000
20260323,退货单,安踏大货唯品会,162537403-1,-7,-755.02439,-1883.0000
20260323,退货单,安踏大货唯品会,922525514F-10,-1,-111.365854,-269.0000
20260323,退货单,安踏大货唯品会,922618099-8,-2,-249.463415,-398.0000
20260323,退货单,抖音-安踏跑步旗舰店,922515513-3,-17,-3383.0,-5763.0000
20260323,退货单,抖音-安踏北京旗舰店,112615530R-1,-61,-10786.0,-18239.0000
20260323,退货单,抖音-安踏运动户外旗舰店,922535505-1,-1,-135.0,-269.0000
20260323,退货单,安踏大货唯品会,922548088-6,-2,-407.365854,-998.0000
20260323,退货单,安踏大货唯品会,922548088-7,-2,-394.97560999999996,-998.0000
20260323,退货单,拼多多-郑州安发安踏锋锐专卖店,922528003F-2,-1,-227.0,-399.0000
20260323,退货单,拼多多-上海安驰安踏专卖店,912515591-9,-2,-512.0,-1198.0000
20260323,退货单,安踏大货唯品会,912618099-1,-3,-387.0,-597.0000
20260323,退货单,安踏大货唯品会,922618881-5,-1,-194.609756,-399.0000
20260323,退货单,安踏大货唯品会,952438608-1,-14,-1345.0,-5586.0000
20260323,退货单,安踏大货唯品会,952538712-4,-2,-204.585366,-398.0000
20260323,退货单,安踏大货唯品会,962536503-4,-26,-3289.780488,-7774.0000
20260323,退货单,拼多多-安踏运动旗舰店,162448747U-3,-3,-207.0,-807.0000
20260323,退货单,抖音-安踏店播专卖店,172611302-2,-4,-1846.0,-1996.0000
20260323,退货单,天猫-安踏官方网店,912548837-9,-4,-826.5899999999999,-1596.0000
20260323,退货单,安踏大货唯品会,922615541-5,-15,-2078.902439,-2985.0000
20260323,退货单,抖音-安踏运动旗舰店,952547204-5,-37,-8783.0,-14763.0000
20260323,退货单,拼多多-安踏运动旗舰店,952447701-2,-1,-119.0,-369.0000
20260323,退货单,天猫-安踏官方网店,112617711-1,-9,-3001.53,-3591.0000
20260323,退货单,抖音-安踏奥莱旗舰店,922615575F-6,-142,-32518.0,-56658.0000
20260323,退货单,拼多多-安踏旗舰店,922538042-3,-28,-2357.16,-6972.0000
20260323,退货单,拼多多-安踏旗舰店,952535406-2,-24,-1236.2,-3336.0000
20260323,退货单,安踏大货唯品会,162617710S-6,-1,-325.341463,-449.0000
20260323,退货单,安踏大货唯品会,912525590-2,-2,-643.8536590000001,-998.0000
20260323,退货单,安踏大货唯品会,922525502-1,-29,-3485.0,-11571.0000
20260323,退货单,拼多多-安踏男鞋官方旗舰店,172611506-3,-1,-287.0,-399.0000
20260323,退货单,京东-安踏吉元盛宝专卖店,992451156R-1,-1,-122.0,-269.0000
20260323,退货单,天猫-anta安踏宏然专卖店,912525502F-7,-4,-636.0,-1076.0000
20260323,退货单,拼多多-安踏旗舰店,952535401-4,-3,-316.0,-717.0000
20260323,退货单,天猫-anta安踏安驰专卖店,912538041-2,-2,-377.21999999999997,-498.0000
20260323,退货单,安踏大货唯品会,112511108-2,-69,-11154.0,-48231.0000
20260323,退货单,安踏大货唯品会,912528891-4,-5,-835.0,-1995.0000
20260323,退货单,安踏大货唯品会,962537204-7,-20,-3563.4146339999998,-8980.0000
20260323,退货单,拼多多-郑州安发安踏锋锐专卖店,952515604-4,-6,-713.96,-2394.0000
20260323,退货单,安踏大货唯品会,112545538A-1,-1,-345.341463,-799.0000
20260323,退货单,拼多多-安踏运动旗舰店,952517606-2,-3,-325.90999999999997,-1107.0000
20260323,退货单,快手-安踏体育旗舰店,122615546-6,-3,-987.0,-1197.0000
20260323,退货单,淘宝-安踏品牌直营网店,912538821-5,-1,-119.0,-299.0000
20260323,退货单,安踏大货唯品会,112525543R-2,-74,-9089.0,-25086.0000
20260323,退货单,安踏大货唯品会,912421601Q-4,-5,-738.0,-2495.0000
20260323,退货单,安踏大货唯品会,922445573-9,-1,-152.0,-299.0000
20260323,退货单,安踏大货唯品会,922535537-4,-16,-2198.0,-6384.0000
20260323,退货单,安踏大货唯品会,162438160U-7,-1,-56.0,-119.0000
